"Ind","Sex","Group","variable","value"
"1_14","m","White","Hum1",307
"1_15","m","White","Hum1",310
"1_16","m","White","Hum1",314
"1_17","m","White","Hum1",317
"1_18","m","White","Hum1",320
"1_6","m","White","Hum1",281
"1_7","m","White","Hum1",284
"1_8","m","White","Hum1",288
"1_9","m","White","Hum1",291
"1_23","m","White","Hum1",336
"1_24","m","White","Hum1",339
"1_25","m","White","Hum1",343
"1_26","m","White","Hum1",346
"1_27","m","White","Hum1",349
"1_28","m","White","Hum1",352
"1_29","m","White","Hum1",356
"1_30","m","White","Hum1",359
"1_31","m","White","Hum1",362
"1_19","m","White","Hum1",323
"1_20","m","White","Hum1",327
"1_21","m","White","Hum1",330
"1_22","m","White","Hum1",333
"1_36","m","White","Hum1",378
"1_37","m","White","Hum1",382
"1_38","m","White","Hum1",385
"1_39","m","White","Hum1",388
"1_40","m","White","Hum1",391
"1_41","m","White","Hum1",395
"1_42","m","White","Hum1",398
"1_43","m","White","Hum1",401
"1_44","m","White","Hum1",404
"1_45","m","White","Hum1",408
"1_46","m","White","Hum1",411
"1_47","m","White","Hum1",414
"2_1","m","Black","Hum1",276
"2_2","m","Black","Hum1",279
"2_3","m","Black","Hum1",282
"2_4","m","Black","Hum1",285
"2_5","m","Black","Hum1",288
"2_6","m","Black","Hum1",291
"2_7","m","Black","Hum1",294
"2_8","m","Black","Hum1",297
"2_9","m","Black","Hum1",300
"2_10","m","Black","Hum1",303
"2_11","m","Black","Hum1",306
"2_12","m","Black","Hum1",310
"2_13","m","Black","Hum1",313
"2_14","m","Black","Hum1",316
"2_15","m","Black","Hum1",319
"2_16","m","Black","Hum1",322
"2_17","m","Black","Hum1",325
"2_18","m","Black","Hum1",328
"2_19","m","Black","Hum1",331
"2_20","m","Black","Hum1",334
"2_21","m","Black","Hum1",337
"2_22","m","Black","Hum1",340
"2_23","m","Black","Hum1",343
"2_24","m","Black","Hum1",346
"1_32","m","White","Hum1",365
"1_33","m","White","Hum1",369
"1_34","m","White","Hum1",372
"1_35","m","White","Hum1",375
"2_29","m","Black","Hum1",362
"2_30","m","Black","Hum1",365
"2_31","m","Black","Hum1",368
"2_32","m","Black","Hum1",371
"2_33","m","Black","Hum1",374
"2_34","m","Black","Hum1",377
"2_35","m","Black","Hum1",380
"2_36","m","Black","Hum1",383
"2_37","m","Black","Hum1",386
"2_38","m","Black","Hum1",389
"2_39","m","Black","Hum1",392
"2_40","m","Black","Hum1",395
"2_41","m","Black","Hum1",398
"2_42","m","Black","Hum1",401
"2_43","m","Black","Hum1",405
"2_44","m","Black","Hum1",408
"2_45","m","Black","Hum1",411
"2_46","m","Black","Hum1",414
"2_47","m","Black","Hum1",417
"3_1","f","White","Hum1",244
"3_2","f","White","Hum1",247
"3_3","f","White","Hum1",250
"3_4","f","White","Hum1",253
"3_5","f","White","Hum1",256
"3_6","f","White","Hum1",259
"3_7","f","White","Hum1",262
"3_8","f","White","Hum1",265
"3_9","f","White","Hum1",268
"3_10","f","White","Hum1",271
"3_11","f","White","Hum1",274
"3_12","f","White","Hum1",277
"3_13","f","White","Hum1",280
"3_14","f","White","Hum1",283
"3_15","f","White","Hum1",286
"3_16","f","White","Hum1",289
"3_17","f","White","Hum1",292
"3_18","f","White","Hum1",295
"3_19","f","White","Hum1",298
"3_20","f","White","Hum1",301
"3_21","f","White","Hum1",304
"3_22","f","White","Hum1",307
"3_23","f","White","Hum1",310
"3_24","f","White","Hum1",313
"3_25","f","White","Hum1",316
"3_26","f","White","Hum1",319
"3_27","f","White","Hum1",322
"3_28","f","White","Hum1",324
"3_29","f","White","Hum1",327
"3_30","f","White","Hum1",330
"3_31","f","White","Hum1",333
"3_32","f","White","Hum1",336
"3_33","f","White","Hum1",339
"3_34","f","White","Hum1",342
"3_35","f","White","Hum1",345
"3_36","f","White","Hum1",348
"3_37","f","White","Hum1",351
"3_38","f","White","Hum1",354
"3_39","f","White","Hum1",357
"3_40","f","White","Hum1",360
"3_41","f","White","Hum1",363
"3_42","f","White","Hum1",366
"3_43","f","White","Hum1",369
"3_44","f","White","Hum1",372
"3_45","f","White","Hum1",375
"4_1","f","Black","Hum1",245
"4_2","f","Black","Hum1",248
"4_3","f","Black","Hum1",251
"4_4","f","Black","Hum1",254
"4_5","f","Black","Hum1",258
"4_6","f","Black","Hum1",261
"4_7","f","Black","Hum1",264
"4_8","f","Black","Hum1",267
"4_9","f","Black","Hum1",271
"4_10","f","Black","Hum1",274
"4_11","f","Black","Hum1",277
"4_12","f","Black","Hum1",280
"4_13","f","Black","Hum1",284
"4_14","f","Black","Hum1",287
"4_15","f","Black","Hum1",290
"4_16","f","Black","Hum1",293
"4_17","f","Black","Hum1",297
"4_18","f","Black","Hum1",300
"4_19","f","Black","Hum1",303
"4_20","f","Black","Hum1",306
"4_21","f","Black","Hum1",310
"4_22","f","Black","Hum1",313
