"Ind","Sex","Group","variable","value"
"3_17","f","White","Uln1",230
"3_18","f","White","Uln1",232
"3_19","f","White","Uln1",235
"3_20","f","White","Uln1",237
"3_21","f","White","Uln1",239
"3_22","f","White","Uln1",242
"3_23","f","White","Uln1",244
"3_24","f","White","Uln1",246
"3_25","f","White","Uln1",249
"3_26","f","White","Uln1",251
"3_27","f","White","Uln1",253
"3_28","f","White","Uln1",256
"3_29","f","White","Uln1",258
"3_30","f","White","Uln1",261
"3_31","f","White","Uln1",263
"3_32","f","White","Uln1",265
"3_33","f","White","Uln1",268
"3_34","f","White","Uln1",270
"3_35","f","White","Uln1",272
"3_36","f","White","Uln1",275
"3_37","f","White","Uln1",277
"3_38","f","White","Uln1",279
"3_39","f","White","Uln1",282
"3_40","f","White","Uln1",284
"3_41","f","White","Uln1",286
"3_42","f","White","Uln1",289
"3_43","f","White","Uln1",291
"3_44","f","White","Uln1",293
"3_45","f","White","Uln1",296
"4_1","f","Black","Uln1",195
"4_2","f","Black","Uln1",198
"4_3","f","Black","Uln1",201
"4_4","f","Black","Uln1",204
"4_5","f","Black","Uln1",207
"4_6","f","Black","Uln1",210
"4_7","f","Black","Uln1",213
"4_8","f","Black","Uln1",216
"4_9","f","Black","Uln1",219
"4_10","f","Black","Uln1",222
"4_11","f","Black","Uln1",225
"4_12","f","Black","Uln1",228
"4_13","f","Black","Uln1",231
"4_14","f","Black","Uln1",235
"4_15","f","Black","Uln1",238
"4_16","f","Black","Uln1",241
"4_17","f","Black","Uln1",244
"4_18","f","Black","Uln1",247
"4_19","f","Black","Uln1",250
"4_20","f","Black","Uln1",253
"4_21","f","Black","Uln1",256
"4_22","f","Black","Uln1",259
"4_23","f","Black","Uln1",262
"4_24","f","Black","Uln1",265
"4_25","f","Black","Uln1",268
"4_26","f","Black","Uln1",271
"4_27","f","Black","Uln1",274
"4_28","f","Black","Uln1",277
"4_29","f","Black","Uln1",280
"4_30","f","Black","Uln1",283
"4_31","f","Black","Uln1",286
"4_32","f","Black","Uln1",289
"4_33","f","Black","Uln1",292
"4_34","f","Black","Uln1",295
"4_35","f","Black","Uln1",298
"4_36","f","Black","Uln1",301
"4_37","f","Black","Uln1",304
"4_38","f","Black","Uln1",307
"4_39","f","Black","Uln1",310
"4_40","f","Black","Uln1",313
"4_41","f","Black","Uln1",316
"4_42","f","Black","Uln1",319
"4_43","f","Black","Uln1",322
"4_44","f","Black","Uln1",325
"4_45","f","Black","Uln1",328
"2_21","m","Black","Uln1",284
"2_22","m","Black","Uln1",287
"2_23","m","Black","Uln1",291
"2_24","m","Black","Uln1",294
