#List of functions
breitinger_bach_1965
byers_etal_1989
feldesman_etal_1990
formicola_franceschi_1996
maijanen_niskanen_2009
olivier_etal_1978
pearson_1899
raxter_etal_2008
sjovold_1990
telkkae_1950
trotter_gleser_1952_an
trotter_gleser_1952_aw
Vercellotti_et_al_2009_fct
