App_row,sex,grp,stature,Hum,Rad,Uln,Fem,Tib,Fib,Fem+Tib
3_32,2,1,1710,336,245,265,473,377,380,847
3_33,2,1,1720,339,247,268,477,381,384,855
3_34,2,1,1730,342,249,270,481,384,387,862
3_35,2,1,1740,345,251,272,485,388,390,869
3_36,2,1,1750,348,253,275,489,391,394,876
3_37,2,1,1760,351,255,277,494,395,397,883
3_38,2,1,1770,354,258,279,498,398,401,891
3_39,2,1,1780,357,260,282,502,402,404,898
3_40,2,1,1790,360,262,284,506,405,407,905
3_41,2,1,1800,363,264,286,510,409,411,912
3_42,2,1,1810,366,266,289,514,412,414,919
3_43,2,1,1820,369,268,291,518,415,418,927
3_44,2,1,1830,372,270,293,522,419,421,934
3_45,2,1,1840,375,272,296,526,422,425,941
4_1,2,2,1400,245,165,195,352,275,278,637
4_2,2,2,1410,248,169,198,356,279,282,645
4_3,2,2,1420,251,173,201,361,283,286,653
4_4,2,2,1430,254,176,204,365,287,290,661
4_5,2,2,1440,258,180,207,369,291,294,669
4_6,2,2,1450,261,184,210,374,295,298,677
4_7,2,2,1460,264,187,213,378,299,302,685
4_8,2,2,1470,267,191,216,383,303,306,693
4_9,2,2,1480,271,195,219,387,308,310,701
4_10,2,2,1490,274,198,222,391,312,314,709
4_11,2,2,1500,277,202,225,396,316,318,717
4_12,2,2,1510,280,205,228,400,320,322,724
4_13,2,2,1520,284,209,231,405,324,326,732
4_14,2,2,1530,287,213,235,409,328,330,740
4_15,2,2,1540,290,216,238,413,332,334,748
4_16,2,2,1550,293,220,241,418,336,338,756
4_17,2,2,1560,297,224,244,422,340,342,764
4_18,2,2,1570,300,227,247,426,344,346,772
4_19,2,2,1580,303,231,250,431,348,350,780
4_20,2,2,1590,306,235,253,435,352,354,788
4_21,2,2,1600,310,238,256,440,357,358,796
4_22,2,2,1610,313,242,259,444,361,362,804
4_23,2,2,1620,316,245,262,448,365,366,812
4_24,2,2,1630,319,249,265,453,369,370,820
4_25,2,2,1640,322,253,268,457,373,374,828
4_26,2,2,1650,326,256,271,462,377,378,836
4_27,2,2,1660,329,260,274,466,381,382,843
4_28,2,2,1670,332,264,277,470,385,386,851
4_29,2,2,1680,335,267,280,475,389,390,859
4_30,2,2,1690,339,271,283,479,393,394,867
4_31,2,2,1700,342,275,286,484,397,398,875
4_32,2,2,1710,345,278,289,488,401,402,883
4_33,2,2,1720,348,282,292,492,406,406,891
4_34,2,2,1730,352,285,295,497,410,410,899
4_35,2,2,1740,355,289,298,501,414,414,907
4_36,2,2,1750,358,293,301,505,418,418,915
4_37,2,2,1760,361,296,304,510,422,422,923
4_38,2,2,1770,365,300,307,514,426,426,931
4_39,2,2,1780,368,304,310,519,430,430,939
4_40,2,2,1790,371,307,313,523,434,434,947
4_41,2,2,1800,374,311,316,527,438,438,955
4_42,2,2,1810,378,315,319,532,442,442,963
4_43,2,2,1820,381,318,322,536,446,446,970
4_44,2,2,1830,384,322,325,541,450,450,978
4_45,2,2,1840,387,325,328,545,454,454,986
